العربية,English,বাংলা,فارسی,Français,Indonesia,Italiano,Dutch,Português,русский,Shqip,ภาษาไทย,Türkçe,اردو,简体中文,Melayu,Español,Kiswahili,Tiếng Việt
"سورة Al-An'am","Surah Yunus","সূরা Al-Mu'minun","سوره Al-Mu'minun","Sourate Al-Mu'minun","Surah Al-Mu'minun","Sura Al-Mu'minun","Soera Al-Mu'minun","Surata Al-Mu'minun","Сура Al-Mu'minun","Sure Al-Mu'minun","ซูเราะห์ Al-Mu'minun","Sure Al-Mu'minun","سورہ Al-Mu'minun","苏拉 Al-Mu'minun","Surah Al-Mu'minun","Sura Al-Mu'minun","Sura Al-Mu'minun","Surah An-Nur"
"سورة Al-A'raf","Surah Hud","সূরা An-Nur","سوره An-Nur","Sourate An-Nur","Surah An-Nur","Sura An-Nur","Soera An-Nur","Surata An-Nur","Сура An-Nur","Sure An-Nur","ซูเราะห์ An-Nur","Sure An-Nur","سورہ An-Nur","苏拉 An-Nur","Surah An-Nur","Sura An-Nur","Sura An-Nur","Surah Al-Furqan"
"سورة Al-Anfal","Surah Yusuf","সূরা Al-Furqan","سوره Al-Furqan","Sourate Al-Furqan","Surah Al-Furqan","Sura Al-Furqan","Soera Al-Furqan","Surata Al-Furqan","Сура Al-Furqan","Sure Al-Furqan","ซูเราะห์ Al-Furqan","Sure Al-Furqan","سورہ Al-Furqan","苏拉 Al-Furqan","Surah Al-Furqan","Sura Al-Furqan","Sura Al-Furqan","Surah Ash-Shu'ara"
"سورة At-Tawbah","Surah Ar-Ra'd","সূরা Ash-Shu'ara","سوره Ash-Shu'ara","Sourate Ash-Shu'ara","Surah Ash-Shu'ara","Sura Ash-Shu'ara","Soera Ash-Shu'ara","Surata Ash-Shu'ara","Сура Ash-Shu'ara","Sure Ash-Shu'ara","ซูเราะห์ Ash-Shu'ara","Sure Ash-Shu'ara","سورہ Ash-Shu'ara","苏拉 Ash-Shu'ara","Surah Ash-Shu'ara","Sura Ash-Shu'ara","Sura Ash-Shu'ara","Surah An-Naml"
"سورة Yunus","Surah Ibrahim","সূরা An-Naml","سوره An-Naml","Sourate An-Naml","Surah An-Naml","Sura An-Naml","Soera An-Naml","Surata An-Naml","Сура An-Naml","Sure An-Naml","ซูเราะห์ An-Naml","Sure An-Naml","سورہ An-Naml","苏拉 An-Naml","Surah An-Naml","Sura An-Naml","Sura An-Naml","Surah Al-Qasas"
"سورة Hud","Surah Al-Hijr","সূরা Al-Qasas","سوره Al-Qasas","Sourate Al-Qasas","Surah Al-Qasas","Sura Al-Qasas","Soera Al-Qasas","Surata Al-Qasas","Сура Al-Qasas","Sure Al-Qasas","ซูเราะห์ Al-Qasas","Sure Al-Qasas","سورہ Al-Qasas","苏拉 Al-Qasas","Surah Al-Qasas","Sura Al-Qasas","Sura Al-Qasas","Surah Al-'Ankabut"
"سورة Yusuf","Surah An-Nahl","সূরা Al-'Ankabut","سوره Al-'Ankabut","Sourate Al-'Ankabut","Surah Al-'Ankabut","Sura Al-'Ankabut","Soera Al-'Ankabut","Surata Al-'Ankabut","Сура Al-'Ankabut","Sure Al-'Ankabut","ซูเราะห์ Al-'Ankabut","Sure Al-'Ankabut","سورہ Al-'Ankabut","苏拉 Al-'Ankabut","Surah Al-'Ankabut","Sura Al-'Ankabut","Sura Al-'Ankabut","Surah Ar-Rum"
"سورة Ar-Ra'd","Surah Al-Isra","সূরা Ar-Rum","سوره Ar-Rum","Sourate Ar-Rum","Surah Ar-Rum","Sura Ar-Rum","Soera Ar-Rum","Surata Ar-Rum","Сура Ar-Rum","Sure Ar-Rum","ซูเราะห์ Ar-Rum","Sure Ar-Rum","سورہ Ar-Rum","苏拉 Ar-Rum","Surah Ar-Rum","Sura Ar-Rum","Sura Ar-Rum","Surah Luqman"
"سورة Ibrahim","Surah Al-Kahf","সূরা Luqman","سوره Luqman","Sourate Luqman","Surah Luqman","Sura Luqman","Soera Luqman","Surata Luqman","Сура Luqman","Sure Luqman","ซูเราะห์ Luqman","Sure Luqman","سورہ Luqman","苏拉 Luqman","Surah Luqman","Sura Luqman","Sura Luqman","Surah As-Sajdah"
"سورة Al-Hijr","Surah Maryam","সূরা As-Sajdah","سوره As-Sajdah","Sourate As-Sajdah","Surah As-Sajdah","Sura As-Sajdah","Soera As-Sajdah","Surata As-Sajdah","Сура As-Sajdah","Sure As-Sajdah","ซูเราะห์ As-Sajdah","Sure As-Sajdah","سورہ As-Sajdah","苏拉 As-Sajdah","Surah As-Sajdah","Sura As-Sajdah","Sura As-Sajdah","Surah Al-Ahzab"
"سورة An-Nahl","Surah Ta-Ha","সূরা Al-Ahzab","سوره Al-Ahzab","Sourate Al-Ahzab","Surah Al-Ahzab","Sura Al-Ahzab","Soera Al-Ahzab","Surata Al-Ahzab","Сура Al-Ahzab","Sure Al-Ahzab","ซูเราะห์ Al-Ahzab","Sure Al-Ahzab","سورہ Al-Ahzab","苏拉 Al-Ahzab","Surah Al-Ahzab","Sura Al-Ahzab","Sura Al-Ahzab","Surah Saba"
"سورة Al-Isra","Surah Al-Anbiya","সূরা Saba","سوره Saba","Sourate Saba","Surah Saba","Sura Saba","Soera Saba","Surata Saba","Сура Saba","Sure Saba","ซูเราะห์ Saba","Sure Saba","سورہ Saba","苏拉 Saba","Surah Saba","Sura Saba","Sura Saba","Surah Fatir"
"سورة Al-Kahf","Surah Al-Hajj","সূরা Fatir","سوره Fatir","Sourate Fatir","Surah Fatir","Sura Fatir","Soera Fatir","Surata Fatir","Сура Fatir","Sure Fatir","ซูเราะห์ Fatir","Sure Fatir","سورہ Fatir","苏拉 Fatir","Surah Fatir","Sura Fatir","Sura Fatir","Surah Ya-Sin"
"سورة Maryam","Surah Al-Mu'minun","সূরা Ya-Sin","سوره Ya-Sin","Sourate Ya-Sin","Surah Ya-Sin","Sura Ya-Sin","Soera Ya-Sin","Surata Ya-Sin","Сура Ya-Sin","Sure Ya-Sin","ซูเราะห์ Ya-Sin","Sure Ya-Sin","سورہ Ya-Sin","苏拉 Ya-Sin","Surah Ya-Sin","Sura Ya-Sin","Sura Ya-Sin","Surah As-Saffat"
"سورة Ta-Ha","Surah An-Nur","সূরা As-Saffat","سوره As-Saffat","Sourate As-Saffat","Surah As-Saffat","Sura As-Saffat","Soera As-Saffat","Surata As-Saffat","Сура As-Saffat","Sure As-Saffat","ซูเราะห์ As-Saffat","Sure As-Saffat","سورہ As-Saffat","苏拉 As-Saffat","Surah As-Saffat","Sura As-Saffat","Sura As-Saffat","Surah Sad"
"سورة Al-Anbiya","Surah Al-Furqan","সূরা Sad","سوره Sad","Sourate Sad","Surah Sad","Sura Sad","Soera Sad","Surata Sad","Сура Sad","Sure Sad","ซูเราะห์ Sad","Sure Sad","سورہ Sad","苏拉 Sad","Surah Sad","Sura Sad","Sura Sad","Surah Az-Zumar"
"سورة Al-Hajj","Surah Ash-Shu'ara","সূরা Az-Zumar","سوره Az-Zumar","Sourate Az-Zumar","Surah Az-Zumar","Sura Az-Zumar","Soera Az-Zumar","Surata Az-Zumar","Сура Az-Zumar","Sure Az-Zumar","ซูเราะห์ Az-Zumar","Sure Az-Zumar","سورہ Az-Zumar","苏拉 Az-Zumar","Surah Az-Zumar","Sura Az-Zumar","Sura Az-Zumar","Surah Ghafir"
"سورة Al-Mu'minun","Surah An-Naml","সূরা Ghafir","سوره Ghafir","Sourate Ghafir","Surah Ghafir","Sura Ghafir","Soera Ghafir","Surata Ghafir","Сура Ghafir","Sure Ghafir","ซูเราะห์ Ghafir","Sure Ghafir","سورہ Ghafir","苏拉 Ghafir","Surah Ghafir","Sura Ghafir","Sura Ghafir","Surah Fussilat"
"سورة An-Nur","Surah Al-Qasas","সূরা Fussilat","سوره Fussilat","Sourate Fussilat","Surah Fussilat","Sura Fussilat","Soera Fussilat","Surata Fussilat","Сура Fussilat","Sure Fussilat","ซูเราะห์ Fussilat","Sure Fussilat","سورہ Fussilat","苏拉 Fussilat","Surah Fussilat","Sura Fussilat","Sura Fussilat","Surah Ash-Shura"
"سورة Al-Furqan","Surah Al-'Ankabut","সূরা Ash-Shura","سوره Ash-Shura","Sourate Ash-Shura","Surah Ash-Shura","Sura Ash-Shura","Soera Ash-Shura","Surata Ash-Shura","Сура Ash-Shura","Sure Ash-Shura","ซูเราะห์ Ash-Shura","Sure Ash-Shura","سورہ Ash-Shura","苏拉 Ash-Shura","Surah Ash-Shura","Sura Ash-Shura","Sura Ash-Shura","Surah Az-Zukhruf"
"سورة Ash-Shu'ara","Surah Ar-Rum","সূরা Az-Zukhruf","سوره Az-Zukhruf","Sourate Az-Zukhruf","Surah Az-Zukhruf","Sura Az-Zukhruf","Soera Az-Zukhruf","Surata Az-Zukhruf","Сура Az-Zukhruf","Sure Az-Zukhruf","ซูเราะห์ Az-Zukhruf","Sure Az-Zukhruf","سورہ Az-Zukhruf","苏拉 Az-Zukhruf","Surah Az-Zukhruf","Sura Az-Zukhruf","Sura Az-Zukhruf","Surah Ad-Dukhan"
"سورة An-Naml","Surah Luqman","সূরা Ad-Dukhan","سوره Ad-Dukhan","Sourate Ad-Dukhan","Surah Ad-Dukhan","Sura Ad-Dukhan","Soera Ad-Dukhan","Surata Ad-Dukhan","Сура Ad-Dukhan","Sure Ad-Dukhan","ซูเราะห์ Ad-Dukhan","Sure Ad-Dukhan","سورہ Ad-Dukhan","苏拉 Ad-Dukhan","Surah Ad-Dukhan","Sura Ad-Dukhan","Sura Ad-Dukhan","Surah Al-Jathiyah"
"سورة Al-Qasas","Surah As-Sajdah","সূরা Al-Jathiyah","سوره Al-Jathiyah","Sourate Al-Jathiyah","Surah Al-Jathiyah","Sura Al-Jathiyah","Soera Al-Jathiyah","Surata Al-Jathiyah","Сура Al-Jathiyah","Sure Al-Jathiyah","ซูเราะห์ Al-Jathiyah","Sure Al-Jathiyah","سورہ Al-Jathiyah","苏拉 Al-Jathiyah","Surah Al-Jathiyah","Sura Al-Jathiyah","Sura Al-Jathiyah","Surah Al-Ahqaf"
"سورة Al-'Ankabut","Surah Al-Ahzab","সূরা Al-Ahqaf","سوره Al-Ahqaf","Sourate Al-Ahqaf","Surah Al-Ahqaf","Sura Al-Ahqaf","Soera Al-Ahqaf","Surata Al-Ahqaf","Сура Al-Ahqaf","Sure Al-Ahqaf","ซูเราะห์ Al-Ahqaf","Sure Al-Ahqaf","سورہ Al-Ahqaf","苏拉 Al-Ahqaf","Surah Al-Ahqaf","Sura Al-Ahqaf","Sura Al-Ahqaf","Surah Muhammad"
"سورة Ar-Rum","Surah Saba","সূরা Muhammad","سوره Muhammad","Sourate Muhammad","Surah Muhammad","Sura Muhammad","Soera Muhammad","Surata Muhammad","Сура Muhammad","Sure Muhammad","ซูเราะห์ Muhammad","Sure Muhammad","سورہ Muhammad","苏拉 Muhammad","Surah Muhammad","Sura Muhammad","Sura Muhammad","Surah Al-Fath"
"سورة Luqman","Surah Fatir","সূরা Al-Fath","سوره Al-Fath","Sourate Al-Fath","Surah Al-Fath","Sura Al-Fath","Soera Al-Fath","Surata Al-Fath","Сура Al-Fath","Sure Al-Fath","ซูเราะห์ Al-Fath","Sure Al-Fath","سورہ Al-Fath","苏拉 Al-Fath","Surah Al-Fath","Sura Al-Fath","Sura Al-Fath","Surah Al-Hujurat"
"سورة As-Sajdah","Surah Ya-Sin","সূরা Al-Hujurat","سوره Al-Hujurat","Sourate Al-Hujurat","Surah Al-Hujurat","Sura Al-Hujurat","Soera Al-Hujurat","Surata Al-Hujurat","Сура Al-Hujurat","Sure Al-Hujurat","ซูเราะห์ Al-Hujurat","Sure Al-Hujurat","سورہ Al-Hujurat","苏拉 Al-Hujurat","Surah Al-Hujurat","Sura Al-Hujurat","Sura Al-Hujurat","Surah Qaf"
"سورة Al-Ahzab","Surah As-Saffat","সূরা Qaf","سوره Qaf","Sourate Qaf","Surah Qaf","Sura Qaf","Soera Qaf","Surata Qaf","Сура Qaf","Sure Qaf","ซูเราะห์ Qaf","Sure Qaf","سورہ Qaf","苏拉 Qaf","Surah Qaf","Sura Qaf","Sura Qaf","Surah Ad-Zariyat"
"سورة Saba","Surah Sad","সূরা Ad-Zariyat","سوره Ad-Zariyat","Sourate Ad-Zariyat","Surah Ad-Zariyat","Sura Ad-Zariyat","Soera Ad-Zariyat","Surata Ad-Zariyat","Сура Ad-Zariyat","Sure Ad-Zariyat","ซูเราะห์ Ad-Zariyat","Sure Ad-Zariyat","سورہ Ad-Zariyat","苏拉 Ad-Zariyat","Surah Ad-Zariyat","Sura Ad-Zariyat","Sura Ad-Zariyat","Surah At-Tur"
"سورة Fatir","Surah Az-Zumar","সূরা At-Tur","سوره At-Tur","Sourate At-Tur","Surah At-Tur","Sura At-Tur","Soera At-Tur","Surata At-Tur","Сура At-Tur","Sure At-Tur","ซูเราะห์ At-Tur","Sure At-Tur","سورہ At-Tur","苏拉 At-Tur","Surah At-Tur","Sura At-Tur","Sura At-Tur","Surah An-Najm"
"سورة Ya-Sin","Surah Ghafir","সূরা An-Najm","سوره An-Najm","Sourate An-Najm","Surah An-Najm","Sura An-Najm","Soera An-Najm","Surata An-Najm","Сура An-Najm","Sure An-Najm","ซูเราะห์ An-Najm","Sure An-Najm","سورہ An-Najm","苏拉 An-Najm","Surah An-Najm","Sura An-Najm","Sura An-Najm","Surah Al-Qamar"
"سورة As-Saffat","Surah Fussilat","সূরা Al-Qamar","سوره Al-Qamar","Sourate Al-Qamar","Surah Al-Qamar","Sura Al-Qamar","Soera Al-Qamar","Surata Al-Qamar","Сура Al-Qamar","Sure Al-Qamar","ซูเราะห์ Al-Qamar","Sure Al-Qamar","سورہ Al-Qamar","苏拉 Al-Qamar","Surah Al-Qamar","Sura Al-Qamar","Sura Al-Qamar","Surah Ar-Rahman"
"سورة Sad","Surah Ash-Shura","সূরা Ar-Rahman","سوره Ar-Rahman","Sourate Ar-Rahman","Surah Ar-Rahman","Sura Ar-Rahman","Soera Ar-Rahman","Surata Ar-Rahman","Сура Ar-Rahman","Sure Ar-Rahman","ซูเราะห์ Ar-Rahman","Sure Ar-Rahman","سورہ Ar-Rahman","苏拉 Ar-Rahman","Surah Ar-Rahman","Sura Ar-Rahman","Sura Ar-Rahman","Surah Al-Waqi'ah"
"سورة Az-Zumar","Surah Az-Zukhruf","সূরা Al-Waqi'ah","سوره Al-Waqi'ah","Sourate Al-Waqi'ah","Surah Al-Waqi'ah","Sura Al-Waqi'ah","Soera Al-Waqi'ah","Surata Al-Waqi'ah","Сура Al-Waqi'ah","Sure Al-Waqi'ah","ซูเราะห์ Al-Waqi'ah","Sure Al-Waqi'ah","سورہ Al-Waqi'ah","苏拉 Al-Waqi'ah","Surah Al-Waqi'ah","Sura Al-Waqi'ah","Sura Al-Waqi'ah","Surah Al-Hadid"
"سورة Ghafir","Surah Ad-Dukhan","সূরা Al-Hadid","سوره Al-Hadid","Sourate Al-Hadid","Surah Al-Hadid","Sura Al-Hadid","Soera Al-Hadid","Surata Al-Hadid","Сура Al-Hadid","Sure Al-Hadid","ซูเราะห์ Al-Hadid","Sure Al-Hadid","سورہ Al-Hadid","苏拉 Al-Hadid","Surah Al-Hadid","Sura Al-Hadid","Sura Al-Hadid","Surah Al-Mujadila"
"سورة Fussilat","Surah Al-Jathiyah","সূরা Al-Mujadila","سوره Al-Mujadila","Sourate Al-Mujadila","Surah Al-Mujadila","Sura Al-Mujadila","Soera Al-Mujadila","Surata Al-Mujadila","Сура Al-Mujadila","Sure Al-Mujadila","ซูเราะห์ Al-Mujadila","Sure Al-Mujadila","سورہ Al-Mujadila","苏拉 Al-Mujadila","Surah Al-Mujadila","Sura Al-Mujadila","Sura Al-Mujadila","Surah Al-Hashr"
"سورة Ash-Shura","Surah Al-Ahqaf","সূরা Al-Hashr","سوره Al-Hashr","Sourate Al-Hashr","Surah Al-Hashr","Sura Al-Hashr","Soera Al-Hashr","Surata Al-Hashr","Сура Al-Hashr","Sure Al-Hashr","ซูเราะห์ Al-Hashr","Sure Al-Hashr","سورہ Al-Hashr","苏拉 Al-Hashr","Surah Al-Hashr","Sura Al-Hashr","Sura Al-Hashr","Surah Al-Mumtahanah"
"سورة Az-Zukhruf","Surah Muhammad","সূরা Al-Mumtahanah","سوره Al-Mumtahanah","Sourate Al-Mumtahanah","Surah Al-Mumtahanah","Sura Al-Mumtahanah","Soera Al-Mumtahanah","Surata Al-Mumtahanah","Сура Al-Mumtahanah","Sure Al-Mumtahanah","ซูเราะห์ Al-Mumtahanah","Sure Al-Mumtahanah","سورہ Al-Mumtahanah","苏拉 Al-Mumtahanah","Surah Al-Mumtahanah","Sura Al-Mumtahanah","Sura Al-Mumtahanah","Surah As-Saf"
"سورة Ad-Dukhan","Surah Al-Fath","সূরা As-Saf","سوره As-Saf","Sourate As-Saf","Surah As-Saf","Sura As-Saf","Soera As-Saf","Surata As-Saf","Сура As-Saf","Sure As-Saf","ซูเราะห์ As-Saf","Sure As-Saf","سورہ As-Saf","苏拉 As-Saf","Surah As-Saf","Sura As-Saf","Sura As-Saf","Surah Al-Jumu'ah"
"سورة Al-Jathiyah","Surah Al-Hujurat","সূরা Al-Jumu'ah","سوره Al-Jumu'ah","Sourate Al-Jumu'ah","Surah Al-Jumu'ah","Sura Al-Jumu'ah","Soera Al-Jumu'ah","Surata Al-Jumu'ah","Сура Al-Jumu'ah","Sure Al-Jumu'ah","ซูเราะห์ Al-Jumu'ah","Sure Al-Jumu'ah","سورہ Al-Jumu'ah","苏拉 Al-Jumu'ah","Surah Al-Jumu'ah","Sura Al-Jumu'ah","Sura Al-Jumu'ah","Surah Al-Munafiqun"
"سورة Al-Ahqaf","Surah Qaf","সূরা Al-Munafiqun","سوره Al-Munafiqun","Sourate Al-Munafiqun","Surah Al-Munafiqun","Sura Al-Munafiqun","Soera Al-Munafiqun","Surata Al-Munafiqun","Сура Al-Munafiqun","Sure Al-Munafiqun","ซูเราะห์ Al-Munafiqun","Sure Al-Munafiqun","سورہ Al-Munafiqun","苏拉 Al-Munafiqun","Surah Al-Munafiqun","Sura Al-Munafiqun","Sura Al-Munafiqun","Surah At-Taghabun"
"سورة Muhammad","Surah Ad-Zariyat","সূরা At-Taghabun","سوره At-Taghabun","Sourate At-Taghabun","Surah At-Taghabun","Sura At-Taghabun","Soera At-Taghabun","Surata At-Taghabun","Сура At-Taghabun","Sure At-Taghabun","ซูเราะห์ At-Taghabun","Sure At-Taghabun","سورہ At-Taghabun","苏拉 At-Taghabun","Surah At-Taghabun","Sura At-Taghabun","Sura At-Taghabun","Surah At-Talaq"
"سورة Al-Fath","Surah At-Tur","সূরা At-Talaq","سوره At-Talaq","Sourate At-Talaq","Surah At-Talaq","Sura At-Talaq","Soera At-Talaq","Surata At-Talaq","Сура At-Talaq","Sure At-Talaq","ซูเราะห์ At-Talaq","Sure At-Talaq","سورہ At-Talaq","苏拉 At-Talaq","Surah At-Talaq","Sura At-Talaq","Sura At-Talaq","Surah At-Tahrim"
"سورة Al-Hujurat","Surah An-Najm","সূরা At-Tahrim","سوره At-Tahrim","Sourate At-Tahrim","Surah At-Tahrim","Sura At-Tahrim","Soera At-Tahrim","Surata At-Tahrim","Сура At-Tahrim","Sure At-Tahrim","ซูเราะห์ At-Tahrim","Sure At-Tahrim","سورہ At-Tahrim","苏拉 At-Tahrim","Surah At-Tahrim","Sura At-Tahrim","Sura At-Tahrim","Surah Al-Mulk"
"سورة Qaf","Surah Al-Qamar","সূরা Al-Mulk","سوره Al-Mulk","Sourate Al-Mulk","Surah Al-Mulk","Sura Al-Mulk","Soera Al-Mulk","Surata Al-Mulk","Сура Al-Mulk","Sure Al-Mulk","ซูเราะห์ Al-Mulk","Sure Al-Mulk","سورہ Al-Mulk","苏拉 Al-Mulk","Surah Al-Mulk","Sura Al-Mulk","Sura Al-Mulk","Surah Al-Qalam"
"سورة Ad-Zariyat","Surah Ar-Rahman","সূরা Al-Qalam","سوره Al-Qalam","Sourate Al-Qalam","Surah Al-Qalam","Sura Al-Qalam","Soera Al-Qalam","Surata Al-Qalam","Сура Al-Qalam","Sure Al-Qalam","ซูเราะห์ Al-Qalam","Sure Al-Qalam","سورہ Al-Qalam","苏拉 Al-Qalam","Surah Al-Qalam","Sura Al-Qalam","Sura Al-Qalam","Surah Al-Haqqah"
"سورة At-Tur","Surah Al-Waqi'ah","সূরা Al-Haqqah","سوره Al-Haqqah","Sourate Al-Haqqah","Surah Al-Haqqah","Sura Al-Haqqah","Soera Al-Haqqah","Surata Al-Haqqah","Сура Al-Haqqah","Sure Al-Haqqah","ซูเราะห์ Al-Haqqah","Sure Al-Haqqah","سورہ Al-Haqqah","苏拉 Al-Haqqah","Surah Al-Haqqah","Sura Al-Haqqah","Sura Al-Haqqah","Surah Al-Ma'arij"
"سورة An-Najm","Surah Al-Hadid","সূরা Al-Ma'arij","سوره Al-Ma'arij","Sourate Al-Ma'arij","Surah Al-Ma'arij","Sura Al-Ma'arij","Soera Al-Ma'arij","Surata Al-Ma'arij","Сура Al-Ma'arij","Sure Al-Ma'arij","ซูเราะห์ Al-Ma'arij","Sure Al-Ma'arij","سورہ Al-Ma'arij","苏拉 Al-Ma'arij","Surah Al-Ma'arij","Sura Al-Ma'arij","Sura Al-Ma'arij","Surah Nuh"
"سورة Al-Qamar","Surah Al-Mujadila","সূরা Nuh","سوره Nuh","Sourate Nuh","Surah Nuh","Sura Nuh","Soera Nuh","Surata Nuh","Сура Nuh","Sure Nuh","ซูเราะห์ Nuh","Sure Nuh","سورہ Nuh","苏拉 Nuh","Surah Nuh","Sura Nuh","Sura Nuh","Surah Al-Jinn"
"سورة Ar-Rahman","Surah Al-Hashr","সূরা Al-Jinn","سوره Al-Jinn","Sourate Al-Jinn","Surah Al-Jinn","Sura Al-Jinn","Soera Al-Jinn","Surata Al-Jinn","Сура Al-Jinn","Sure Al-Jinn","ซูเราะห์ Al-Jinn","Sure Al-Jinn","سورہ Al-Jinn","苏拉 Al-Jinn","Surah Al-Jinn","Sura Al-Jinn","Sura Al-Jinn","Surah Al-Muzzammil"
